marea_id,number_of_calas,total_catch
148119,6,340
147432,2,60
147217,2,40
144907,2,55
144575,2,50
146496,1,25
147824,6,250
144183,2,280
144429,1,50
147515,1,150
148511,2,60
145511,1,80
145116,1,40
145703,2,60
146782,2,65
147323,2,185
145162,2,280
146244,3,50
144767,5,270
145849,6,390
145308,1,230
146636,1,110
146095,3,200
146390,2,50
147177,2,230
146931,1,30
147718,7,520
148259,1,0
147781,2,100
144555,2,110
145268,1,20
147260,1,40
145053,1,330
146264,3,300
146762,3,110
147758,4,145
144578,1,30
145574,1,330
147993,2,70
144269,2,100
146052,3,105
146974,1,60
144535,2,160
146284,5,400
145786,2,150
148448,2,90
147950,3,80
144512,5,410
145809,4,210
148514,1,15
148471,2,40
147801,9,300
147973,2,70
145245,2,180
145076,3,60
148491,2,80
147240,1,10
144206,3,240
144704,1,190
145617,3,80
146115,3,120
148534,2,130
148036,3,110
144598,1,20
145096,6,450
146221,3,120
147930,2,30
144492,4,290
145829,4,340
147738,3,120
145033,3,105
147452,2,80
147197,2,50
146954,2,190
144641,1,90
145680,4,230
147346,7,350
147303,1,25
145139,3,90
146805,3,65
147844,1,50
147495,1,140
146370,6,320
147721,2,30
144996,2,60
146324,2,150
145660,2,35
146988,1,25
146347,1,100
147011,2,130
144950,2,120
144286,2,80
146201,3,50
144873,3,150
145537,2,130
146865,3,380
144186,3,150
144850,2,150
144309,2,60
145637,2,25
146178,2,35
144973,2,40
145514,2,95
144658,1,15
144163,1,12
144827,2,60
145491,4,95
144681,1,30
144140,5,60
144263,3,120
144804,1,20
145345,1,20
145119,2,75
146447,2,150
145368,4,140
144432,1,85
144727,2,90
146055,1,95
146493,3,160
145414,2,55
147575,5,310
147821,1,50
145806,1,40
147429,3,400
147134,3,300
148757,1,80
145952,1,15
147280,3,110
147867,1,30
148116,2,20
146639,2,400
148508,3,45
147180,1,60
147326,2,110
148013,3,50
148554,2,30
144366,1,15
145955,1,50
147449,1,30
147947,5,230
144389,3,320
145932,2,160
146098,2,160
145434,1,80
146596,1,60
145906,2,110
146075,1,100
145242,5,280
144601,5,150
144724,1,20
145265,2,85
147306,1,30
144701,4,135
147114,1,120
145122,3,80
145365,2,280
146473,1,110
144581,1,190
144409,1,65
146573,2,75
145099,2,120
144558,4,170
145222,2,20
144289,2,50
145534,5,400
145783,2,30
146032,3,210
144930,2,110
144893,1,90
145391,2,50
144160,2,22
147406,2,60
148488,2,60
147157,3,290
145142,2,90
146224,3,180
146765,1,45
147847,6,500
146616,1,60
148531,1,30
146367,3,210
148282,2,100
144352,3,200
145975,2,85
146516,1,50
148139,3,110
146908,3,150
147990,1,5
147349,2,110
146808,4,510
147890,2,130
144283,1,30
148528,4,85
147200,1,130
146204,1,60
147555,2,80
147223,3,400
148551,1,15
145325,1,85
144306,2,100
147724,2,70
144784,1,20
147363,5,500
147701,2,100
144137,2,24
144807,2,210
145348,2,110
145471,3,290
145494,3,510
145663,2,105
146745,3,220
146822,2,160
146991,1,15
148073,3,310
146058,3,100
144976,3,120
145517,2,55
146968,2,50
146281,6,350
145949,1,10
144953,4,360
144870,2,340
148202,1,60
144266,1,170
145889,2,90
145262,1,45
145557,3,290
147764,5,460
148760,1,35
144824,6,310
147183,1,100
144369,3,130
145454,3,210
147618,3,300
144475,1,220
145803,3,160
145016,2,40
147469,1,40
146682,1,30
146141,1,25
146344,1,75
148010,5,140
145995,3,290
146490,3,110
147077,1,20
144200,2,260
146619,1,0
146121,2,230
144721,3,105
147426,3,110
145600,1,40
144910,1,20
148657,2,65
146407,2,60
145411,1,160
144933,2,50
145929,2,45
145388,2,105
148634,1,80
146450,2,90
144678,1,40
145643,2,40
147807,8,300
144412,1,85
145909,1,40
146576,2,390
147658,2,40
144435,1,25
146427,2,80
145886,3,330
146599,1,50
147140,2,125
144455,3,230
148783,1,30
145866,1,50
144243,2,320
147160,4,315
146078,1,80
148571,2,150
144847,2,105
146470,1,20
148179,4,130
145474,2,200
146556,1,15
148093,2,120
145039,1,230
145282,2,60
147446,1,25
144498,1,10
146662,3,85
146905,3,250
147744,3,180
144349,2,50
144890,1,25
145972,1,75
146513,2,40
145431,2,35
147054,6,320
148136,4,270
144710,3,130
147627,2,180
145374,1,55
146061,1,150
145397,2,95
146940,2,50
147604,1,5
144687,3,125
144879,1,70
147458,4,220
145543,1,20
146207,2,45
146794,2,70
146871,2,70
148122,4,80
144192,2,80
144856,2,32
145520,3,270
148145,3,130
144756,2,160
147581,1,35
146748,1,20
145420,3,85
146253,1,80
146917,7,360
145566,3,100
147558,3,90
147435,2,120
146771,2,140
146107,4,105
146230,2,150
145712,3,190
145297,2,140
146625,2,110
144610,1,10
145938,1,20
146399,3,90
147727,6,230
144169,2,238
144418,2,40
145251,2,190
147919,1,40
144564,1,125
145105,3,130
147232,8,360
148560,1,40
147773,2,20
148460,2,80
144295,2,50
145789,2,95
147876,4,470
144438,1,40
144936,1,240
144272,5,140
146004,3,340
145005,2,160
147996,1,25
145646,3,60
147355,2,110
148019,1,110
144630,1,190
148709,6,380
146622,2,200
146545,2,150
148537,1,20
144315,2,90
144979,1,35
145981,2,170
147143,1,60
146522,2,120
146479,1,20
144338,3,90
145248,1,60
147163,1,100
147335,2,310
146502,2,30
145838,2,55
144607,3,120
145148,1,30
145271,2,250
147312,2,190
146353,1,105
145812,3,160
148517,2,40
147976,2,70
147455,2,110
146210,1,310
147704,1,35
144395,3,35
145440,2,300
146602,2,85
144587,3,150
144836,1,25
144146,2,22
148437,1,40
146851,2,55
146814,2,190
145377,1,45
145477,3,150
146018,2,120
148480,3,210
144544,2,60
144876,2,230
147793,2,95
144567,2,100
145895,2,55
145563,4,180
144899,1,50
146774,4,350
147770,3,60
148102,4,45
145586,4,360
146087,4,290
146582,2,90
146751,1,30
147083,2,140
146914,5,280
145068,1,40
146064,2,120
145609,1,35
145045,3,100
144707,1,15
147292,2,40
146373,3,300
146628,2,105
148620,2,15
144358,2,100
145022,2,340
147315,2,50
144166,1,12
144335,1,60
145417,2,250
144312,2,130
144853,2,35
145394,2,50
145546,3,90
146542,3,120
144229,3,65
145108,1,60
147229,3,350
146436,3,160
146233,1,140
146104,1,40
148557,3,50
145500,1,65
146837,2,75
147169,2,25
144527,1,5
144375,1,70
144962,3,300
146296,1,330
146041,1,75
147624,3,80
145649,7,390
144813,1,40
145354,1,40
146688,1,30
148016,3,100
144421,1,45
144916,3,300
144461,1,120
148706,7,400
144959,4,600
144770,5,300
146001,2,70
146668,1,10
146997,2,110
144982,1,10
145978,4,100
146691,1,40
144292,1,105
145958,4,270
147209,2,30
147856,3,40
145002,3,80
146499,3,80
147166,2,100
144484,3,320
146476,1,5
145025,2,140
147730,3,400
146648,2,50
147189,2,50
147017,2,40
145629,1,45
146127,3,60
144504,3,280
144833,1,10
147750,3,130
144441,1,15
144896,1,105
145437,1,330
145523,3,350
