Marea,Planta,Embarcacion,Bodega,% Llenado,# Calas,TDC-Desc,TVN,año,temporada_año
132016,VEGUETA,TASA 22,Estanca,22.0,2,8.88,14.28,2018,2018-I
132017,VEGUETA,TASA 424,Tradicional,16.0,3,10.68,14.75,2018,2018-I
132018,CHIMBOTE,TASA 54,Frio,73.0,6,40.13,24.54,2018,2018-I
132019,CHIMBOTE,TASA 218,Estanca,29.0,2,14.35,28.73,2018,2018-I
132020,CHIMBOTE,TASA 31,Tradicional,41.0,2,13.48,18.59,2018,2018-I
132021,CHIMBOTE,TASA 32,Tradicional,44.0,3,14.65,19.94,2018,2018-I
132022,CHIMBOTE,TASA 220,Tradicional,95.0,2,13.83,25.3,2018,2018-I
132029,MALABRIGO,TASA 53,Frio,66.0,4,24.07,17.91,2018,2018-I
132032,MALABRIGO,TASA 59,Frio,77.0,4,22.85,20.43,2018,2018-I
132033,MALABRIGO,TASA 426,Tradicional,7.0,1,9.38,16.18,2018,2018-I
132034,SUPE,TASA 315,Tradicional,5.0,1,10.65,23.1,2018,2018-I
132038,VEGUETA,TASA 38,Tradicional,23.0,3,10.57,15.19,2018,2018-I
132046,MALABRIGO,TASA 36,Estanca,9.0,1,10.3,18.71,2018,2018-I
132078,CHIMBOTE,TASA 42,Frio,76.0,3,22.82,19.19,2018,2018-I
132079,MALABRIGO,TASA 41,Frio,76.0,1,13.28,18.39,2018,2018-I
132080,SUPE,TASA 55,Frio,60.0,4,42.47,28.33,2018,2018-I
132081,SUPE,TASA 424,Tradicional,29.0,3,16.4,21.96,2018,2018-I
132082,SUPE,TASA 22,Estanca,50.0,3,14.3,22.0,2018,2018-I
132083,SUPE,TASA 38,Tradicional,19.0,2,13.18,20.97,2018,2018-I
132084,VEGUETA,TASA 52,Frio,51.0,6,38.32,25.95,2018,2018-I
132085,SUPE,TASA 210,Tradicional,39.0,3,16.25,20.13,2018,2018-I
132088,PISCO SUR,TASA 411,Tradicional,18.0,2,13.32,24.03,2018,2018-I
132089,PISCO SUR,TASA 415,Estanca,80.0,3,10.23,21.6,2018,2018-I
132090,MALABRIGO,TASA 35,Estanca,17.0,1,8.9,16.44,2018,2018-I
132091,PISCO SUR,TASA 416,Tradicional,9.0,1,13.87,20.86,2018,2018-I
132092,PISCO SUR,TASA 418,Tradicional,21.0,2,10.8,21.3,2018,2018-I
