Marea,Planta,Bodega,# Calas,TDC-Desc,TVN,año,temporada_año
156787,CHIMBOTE,Tradicional,3,22,27.4,2020,2020-I
156737,CHIMBOTE,Tradicional,2,18,19.2,2020,2020-I
156824,CHIMBOTE,Tradicional,3,15,18.3,2020,2020-I
156792,CHIMBOTE,Tradicional,2,15,24.3,2020,2020-I
156750,CHIMBOTE,Tradicional,1,14,22.5,2020,2020-I
156812,CHIMBOTE,Tradicional,2,18,18.4,2020,2020-I
156788,CHIMBOTE,Tradicional,2,15,18.2,2020,2020-I
156820,CHIMBOTE,Tradicional,4,20,23.4,2020,2020-I
156797,CHIMBOTE,Tradicional,3,16,20.0,2020,2020-I
156785,CHIMBOTE,Tradicional,4,16,21.8,2020,2020-I
156794,CHIMBOTE,Tradicional,2,12,23.2,2020,2020-I
156798,CHIMBOTE,Tradicional,1,8,16.8,2020,2020-I
156790,CHIMBOTE,Tradicional,1,8,19.0,2020,2020-I
